iter	Passed	Remaining
0	771	384735
1	952	237179
2	1135	188119
3	1321	163812
4	1511	149601
5	1690	139210
6	1871	131833
7	2051	126186
8	2230	121711
9	2413	118266
10	2594	115339
11	2783	113192
12	2963	111001
13	3147	109278
14	3331	107704
15	3514	106313
16	3697	105041
17	3877	103821
18	4057	102708
19	4239	101741
20	4420	100839
21	4603	100017
22	4784	99224
23	4967	98513
24	5149	97840
25	5330	97187
26	5512	96564
27	5694	95995
28	5876	95443
29	6061	94956
30	6240	94413
31	6423	93941
32	6614	93602
33	6793	93109
34	6979	92726
35	7155	92231
36	7335	91792
37	7515	91376
38	7692	90927
39	7870	90508
40	8050	90126
41	8226	89703
42	8405	89337
43	8586	88984
44	8764	88621
45	8942	88256
46	9127	87977
47	9316	87731
48	9493	87374
49	9674	87067
50	9857	86780
51	10034	86453
52	10218	86185
53	10397	85879
54	10581	85610
55	10762	85330
56	10941	85039
57	11126	84791
58	11309	84533
59	11490	84260
60	11668	83973
61	11851	83725
62	12029	83444
63	12210	83183
64	12391	82926
65	12570	82658
66	12751	82409
67	12934	82171
68	13116	81927
69	13305	81731
70	13486	81486
71	13670	81263
72	13854	81039
73	14041	80832
74	14226	80616
75	14412	80407
76	14602	80216
77	14784	79988
78	14965	79753
79	15144	79510
80	15326	79281
81	15512	79077
82	15691	78834
83	15868	78588
84	16049	78359
85	16226	78111
86	16406	77881
87	16582	77637
88	16758	77391
89	16940	77171
90	17119	76943
91	17295	76702
92	17472	76464
93	17652	76244
94	17829	76011
95	18007	75783
96	18189	75572
97	18365	75337
98	18544	75116
99	18725	74900
100	18906	74690
101	19088	74483
102	19270	74276
103	19451	74066
104	19638	73878
105	19819	73669
106	19998	73451
107	20175	73229
108	20355	73018
109	20532	72798
110	20715	72599
111	20897	72396
112	21084	72208
113	21272	72026
114	21460	71845
115	21640	71636
116	21825	71446
117	22007	71243
118	22187	71038
119	22366	70828
120	22548	70625
121	22741	70460
122	22935	70298
123	23113	70086
124	23294	69883
125	23476	69682
126	23667	69510
127	23849	69312
128	24027	69103
129	24213	68914
130	24399	68728
131	24589	68551
132	24775	68366
133	24963	68184
134	25155	68013
135	25348	67845
136	25532	67651
137	25714	67455
138	25899	67263
139	26086	67079
140	26276	66902
141	26462	66714
142	26646	66522
143	26827	66322
144	27008	66123
145	27187	65919
146	27376	65740
147	27558	65544
148	27748	65366
149	27939	65193
150	28123	64999
151	28308	64812
152	28494	64625
153	28675	64427
154	28855	64226
155	29037	64031
156	29216	63830
157	29392	63621
158	29571	63419
159	29749	63218
160	29930	63022
161	30112	62828
162	30290	62625
163	30465	62417
164	30646	62220
165	30829	62029
166	31011	61837
167	31188	61634
168	31368	61437
169	31549	61244
170	31731	61050
171	31914	60859
172	32098	60671
173	32277	60473
174	32455	60275
175	32638	60084
176	32817	59887
177	33000	59698
178	33178	59498
179	33360	59306
180	33535	59103
181	33713	58905
182	33892	58710
183	34070	58512
184	34247	58313
185	34424	58114
186	34606	57925
187	34784	57727
188	34967	57538
189	35147	57346
190	35328	57154
191	35507	56959
192	35688	56768
193	35868	56575
194	36050	56386
195	36234	56200
196	36414	56007
197	36593	55815
198	36774	55623
199	36963	55445
200	37154	55269
201	37347	55097
202	37526	54903
203	37708	54713
204	37883	54515
205	38065	54327
206	38248	54139
207	38426	53944
208	38607	53754
209	38791	53569
210	38973	53380
211	39154	53191
212	39338	53005
213	39518	52814
214	39700	52626
215	39877	52431
216	40057	52241
217	40237	52049
218	40440	51888
219	40624	51703
220	40809	51519
221	41004	51348
222	41194	51169
223	41382	50989
224	41566	50802
225	41745	50612
226	41924	50420
227	42102	50227
228	42291	50047
229	42472	49858
230	42657	49674
231	42842	49490
232	43030	49309
233	43212	49121
234	43391	48931
235	43571	48741
236	43747	48547
237	43929	48358
238	44109	48170
239	44291	47982
240	44475	47796
241	44657	47610
242	44838	47422
243	45024	47238
244	45203	47048
245	45383	46859
246	45565	46672
247	45748	46486
248	45927	46296
249	46107	46107
250	46288	45919
251	46472	45734
252	46653	45546
253	46834	45359
254	47017	45173
255	47198	44986
256	47380	44799
257	47560	44610
258	47738	44420
259	47921	44234
260	48103	44049
261	48286	43863
262	48466	43674
263	48647	43488
264	48832	43304
265	49014	43117
266	49196	42931
267	49375	42742
268	49556	42555
269	49733	42365
270	49913	42177
271	50093	41989
272	50275	41803
273	50456	41617
274	50637	41430
275	50816	41242
276	51000	41058
277	51177	40868
278	51360	40683
279	51538	40494
280	51719	40308
281	51897	40119
282	52079	39933
283	52260	39747
284	52440	39560
285	52619	39372
286	52797	39183
287	52982	39001
288	53164	38815
289	53342	38627
290	53523	38441
291	53709	38259
292	53891	38073
293	54082	37894
294	54264	37709
295	54456	37530
296	54643	37348
297	54821	37160
298	55002	36975
299	55183	36789
300	55360	36600
301	55537	36412
302	55721	36227
303	55904	36043
304	56079	35854
305	56258	35666
306	56439	35481
307	56619	35294
308	56795	35106
309	56977	34921
310	57162	34738
311	57345	34554
312	57522	34366
313	57700	34179
314	57881	33993
315	58065	33810
316	58246	33625
317	58427	33439
318	58608	33254
319	58789	33069
320	58972	32885
321	59164	32705
322	59352	32524
323	59543	32344
324	59734	32164
325	59923	31983
326	60110	31801
327	60296	31618
328	60482	31435
329	60665	31251
330	60860	31073
331	61036	30885
332	61223	30703
333	61410	30521
334	61591	30336
335	61772	30150
336	61956	29967
337	62137	29781
338	62318	29596
339	62498	29411
340	62678	29225
341	62860	29040
342	63037	28854
343	63218	28668
344	63400	28484
345	63587	28302
346	63779	28121
347	63961	27937
348	64148	27754
349	64338	27573
350	64529	27393
351	64714	27209
352	64893	27023
353	65073	26838
354	65253	26652
355	65432	26466
356	65620	26284
357	65800	26099
358	65977	25913
359	66154	25726
360	66335	25541
361	66516	25357
362	66702	25174
363	66893	24992
364	67079	24810
365	67263	24626
366	67448	24443
367	67631	24259
368	67813	24074
369	67998	23891
370	68185	23708
371	68367	23524
372	68552	23340
373	68733	23156
374	68915	22971
375	69097	22787
376	69291	22607
377	69475	22423
378	69665	22241
379	69852	22058
380	70032	21873
381	70213	21689
382	70392	21503
383	70572	21318
384	70751	21133
385	70931	20948
386	71110	20763
387	71294	20579
388	71472	20394
389	71653	20209
390	71832	20024
391	72008	19839
392	72191	19655
393	72385	19474
394	72562	19288
395	72742	19104
396	72923	18919
397	73102	18734
398	73285	18550
399	73462	18365
400	73639	18180
401	73819	17995
402	74007	17813
403	74188	17628
404	74365	17443
405	74544	17259
406	74726	17075
407	74906	16890
408	75088	16706
409	75271	16523
410	75454	16339
411	75631	16154
412	75816	15971
413	76000	15787
414	76177	15602
415	76355	15417
416	76534	15233
417	76715	15049
418	76893	14864
419	77072	14680
420	77252	14496
421	77432	14312
422	77610	14127
423	77786	13942
424	77969	13759
425	78155	13576
426	78334	13392
427	78511	13207
428	78692	13023
429	78873	12839
430	79055	12656
