iter	MultiClass
0	1.316290738
1	1.259901389
2	1.195231961
3	1.146222594
4	1.096167687
5	1.054048385
6	1.020458997
7	0.9851167415
8	0.9422935529
9	0.9006257128
10	0.8651758631
11	0.8438783449
12	0.8185520044
13	0.7909281719
14	0.7649293788
15	0.7436605342
16	0.7196148945
17	0.6968524478
18	0.6817966847
19	0.656167119
20	0.6323619142
21	0.612805034
22	0.5966367047
23	0.582360149
24	0.5650584401
25	0.5558348634
26	0.5425337908
27	0.5282552739
28	0.5185702829
29	0.4993289254
30	0.4884025811
31	0.480687128
32	0.4646784366
33	0.4534143929
34	0.447041867
35	0.4382305418
36	0.4253624153
37	0.4138223206
38	0.4060529495
39	0.3923296132
40	0.3853809071
41	0.3778203215
42	0.3697615005
43	0.3608870134
44	0.3540187577
45	0.3483461104
46	0.3425456978
47	0.3377163889
48	0.3311201474
49	0.3260622376
50	0.3216043315
51	0.3180939321
52	0.3115066285
53	0.3079431647
54	0.3022534695
55	0.2982740485
56	0.2922485687
57	0.2860466019
58	0.2801033051
59	0.2767644788
60	0.2723449327
61	0.2667727018
62	0.2626720919
63	0.2594936692
64	0.2532077165
65	0.2485643988
66	0.2454477655
67	0.2421387729
68	0.2396261134
69	0.2376807018
70	0.2338597172
71	0.230779344
72	0.2266739007
73	0.2241367666
74	0.221085513
75	0.2200233315
76	0.2173290239
77	0.2162074238
78	0.2147328339
79	0.2131284369
80	0.2113693359
81	0.2080433785
82	0.2069483237
83	0.2040359958
84	0.201498487
85	0.1971296953
86	0.1963140943
87	0.1947021852
88	0.1934728925
89	0.1907533593
90	0.188956931
91	0.1849200011
92	0.1814745154
93	0.1785226581
94	0.1761200302
95	0.1750484778
96	0.1727644994
97	0.1699696331
98	0.1654739713
99	0.1636990416
100	0.1614762996
101	0.1600757633
102	0.1591527428
103	0.1580268575
104	0.1555976855
105	0.1536665972
106	0.1512267751
107	0.1500114769
108	0.1480979444
109	0.1460701422
110	0.1444837765
111	0.1439986591
112	0.1421052567
113	0.1414101442
114	0.139237879
115	0.1382481094
116	0.137916538
117	0.1360117069
118	0.1325718892
119	0.1300163056
120	0.1276411705
121	0.1270640108
122	0.1248981314
123	0.1234712492
124	0.1226234974
125	0.1218903986
126	0.1213517332
127	0.1195441262
128	0.1185035204
129	0.1180015449
130	0.1166738938
131	0.1147221923
132	0.1143777532
133	0.1133921021
134	0.1123396954
135	0.111737215
136	0.110850899
137	0.1094016064
138	0.1089972047
139	0.1063634574
140	0.1058539064
141	0.1044376464
142	0.103873932
143	0.1033824279
144	0.1029611814
145	0.1022441598
146	0.09987878892
147	0.09844595352
148	0.09709219501
149	0.09629769609
150	0.09593939992
151	0.09552089836
152	0.09509392716
153	0.09358863154
154	0.09311107558
155	0.09252793037
156	0.09128147928
157	0.09049493613
158	0.08959866232
159	0.08838622369
160	0.08732856852
161	0.08681705728
162	0.0849070877
163	0.08400654279
164	0.08313295595
165	0.0828250634
166	0.08224185875
167	0.08188789319
168	0.08167030213
169	0.08045179359
170	0.08017852852
171	0.07983874252
172	0.07897066663
173	0.07869039326
174	0.07832472082
175	0.07790706001
176	0.07646208754
177	0.07601759267
178	0.07525734751
179	0.0750161461
180	0.07471949774
181	0.07439098132
182	0.07415191645
183	0.07370494733
184	0.07326607819
185	0.07291642683
186	0.07243147042
187	0.07198872924
188	0.07171578308
189	0.07158769518
190	0.07071184756
191	0.07043853802
192	0.07022530065
193	0.06985066541
194	0.0688123277
195	0.0684780598
196	0.06814243241
197	0.06762733376
198	0.06749144763
199	0.06734796248
200	0.06688515957
201	0.06657508744
202	0.0663788227
203	0.06545498127
204	0.06511189704
205	0.06491919167
206	0.06461783844
207	0.06436322327
208	0.06406526372
209	0.06372077656
210	0.06349165517
211	0.06341412949
212	0.06308504929
213	0.0629818718
214	0.0628310183
215	0.06161712436
216	0.06132326713
217	0.06112972177
218	0.06098133058
219	0.06063101334
220	0.05948298758
221	0.05897869287
222	0.05883719777
223	0.05844635323
224	0.05828848594
225	0.05775983747
226	0.05724546062
227	0.05702126017
228	0.05676401764
229	0.05636145207
230	0.05619925081
231	0.05612691008
232	0.05581726508
233	0.05560774305
234	0.05535463972
235	0.05524880994
236	0.05502337513
237	0.05487387951
238	0.05463735492
239	0.05384289452
240	0.05361746264
241	0.05344011258
242	0.05328596545
243	0.0531550055
244	0.0528333092
245	0.05273978237
246	0.0525626905
247	0.05248265627
248	0.05242517633
249	0.05157143757
250	0.05119933411
251	0.05095199199
252	0.05043042377
253	0.05030528789
254	0.05005250864
255	0.04981641653
256	0.04953231965
257	0.04923916652
258	0.04887744895
259	0.04860429333
260	0.04850685381
261	0.04828466577
262	0.04808415624
263	0.04771456962
264	0.04764392462
265	0.04748733045
266	0.04735209006
267	0.04706903627
268	0.04699387706
269	0.04686044058
270	0.04675901789
271	0.04631898679
272	0.04586619254
273	0.04558962307
274	0.04532423913
275	0.0452320185
276	0.04516804593
277	0.04503782004
278	0.04487230423
279	0.0447357839
280	0.04461265664
281	0.04412865227
282	0.04401754654
283	0.0438646354
284	0.04381955116
285	0.04360080397
286	0.04347651771
287	0.04338860756
288	0.04324656876
289	0.04318634221
290	0.04309132433
291	0.04282461976
292	0.04252348147
293	0.04214683852
294	0.04207666056
295	0.04186732804
296	0.04181272874
297	0.04164745059
298	0.0415265779
299	0.04140852469
300	0.04093661181
301	0.0408889075
302	0.04079886104
303	0.04065602317
304	0.04038023404
305	0.04027234502
306	0.04008612649
307	0.03999515992
308	0.03977997176
309	0.03964801804
310	0.03957505343
311	0.03949145515
312	0.03924747537
313	0.03916533403
314	0.03899556285
315	0.03884478517
316	0.03868900919
317	0.03820200601
318	0.03814228609
319	0.03799271384
320	0.03777580051
321	0.03766432931
322	0.03757974229
323	0.03724449616
324	0.03701818825
325	0.03684532546
326	0.03678183195
327	0.03654594866
328	0.03642914958
329	0.03631822656
330	0.03622369576
331	0.03604051979
332	0.03601335125
333	0.03583726121
334	0.03577688916
335	0.03533486083
336	0.03529168159
337	0.03519119833
338	0.03498509642
339	0.03488022621
340	0.0348310104
341	0.03474901126
342	0.0346918342
343	0.03453442141
344	0.03422474249
345	0.03409420717
346	0.03398509023
347	0.03366824277
348	0.03358919818
349	0.03338270474
350	0.03334783319
351	0.0332769116
352	0.03323440059
353	0.03307990003
354	0.03297656601
355	0.03282982456
356	0.03263657695
357	0.0325542314
358	0.03237203629
359	0.03229587458
360	0.03209696272
361	0.03204355995
362	0.03175683339
363	0.03163451482
364	0.03157297667
365	0.03136763831
366	0.03105179998
367	0.03102357185
368	0.0308647311
369	0.0307642859
370	0.03070408231
371	0.03062252783
372	0.03050762375
373	0.0304238845
374	0.03034784544
375	0.03016613289
376	0.02995679241
377	0.02979029137
378	0.0296001481
379	0.02952861887
380	0.02945479577
381	0.0294153974
382	0.02935879231
383	0.02934140437
384	0.02895902336
385	0.02887876217
386	0.02880428232
387	0.0287236164
388	0.02844294401
389	0.02834297044
390	0.02804746852
391	0.02802225978
392	0.02797416731
393	0.02793923492
394	0.02791641034
395	0.02787133974
396	0.02767000986
397	0.0275910432
398	0.02753680056
399	0.02748366482
400	0.02740436032
401	0.0273261098
402	0.02728055656
403	0.02720025256
404	0.02716430475
405	0.02713098152
406	0.02688446026
407	0.02684370116
408	0.0267715927
409	0.02675213102
410	0.02666157283
411	0.02652734311
412	0.026398838
413	0.02634061377
414	0.02627457506
415	0.02623928204
416	0.02614079978
417	0.02605529712
418	0.02596902243
419	0.02587225734
420	0.02565043461
421	0.02559930705
422	0.02554102655
423	0.0254756484
424	0.02544075534
425	0.02541063541
426	0.0252918054
427	0.02519940027
428	0.02518761222
429	0.02499620887
430	0.024897428
431	0.02482128676
432	0.02469282368
433	0.02454489055
434	0.02451621381
435	0.02438493895
436	0.02426557462
437	0.02418610165
438	0.02408501393
439	0.02389603856
440	0.02386860531
441	0.02382381206
442	0.02378879037
443	0.02369735523
444	0.02366616585
445	0.02357769662
446	0.02342345433
447	0.02332552235
448	0.02330279669
449	0.02327342465
450	0.02321002835
451	0.0231648527
452	0.02313892541
453	0.0231065494
454	0.02302413503
455	0.02292080498
456	0.02289314583
457	0.02283337992
458	0.02279942743
459	0.02278005176
460	0.02269607358
461	0.0226700816
462	0.02260519267
463	0.0224711539
464	0.02244002688
465	0.02242013024
466	0.02233077386
467	0.02228702344
468	0.0222240867
469	0.02217611043
470	0.02202633259
471	0.02200558047
472	0.02194150975
473	0.02179035627
474	0.02176765708
475	0.02162683368
476	0.02159479945
477	0.0215620773
478	0.02149545973
479	0.02145775579
480	0.02142596332
481	0.02136200737
482	0.02126219741
483	0.02124410893
484	0.02122578082
485	0.02116070716
486	0.02112019053
487	0.02109435364
488	0.02088691777
489	0.02085471346
490	0.02083854696
491	0.02077869054
492	0.02071969482
493	0.02071055161
494	0.02065877572
495	0.02053145432
496	0.02049465016
497	0.02047299001
498	0.02046435019
499	0.02035759408
500	0.02031094733
501	0.02024988637
502	0.02019466217
503	0.0199515268
504	0.01987628788
505	0.01981668797
506	0.01977010628
507	0.01969375119
508	0.01961178818
509	0.01957575562
510	0.01951739508
511	0.01946097051
512	0.01945254011
513	0.0193657688
514	0.01933733454
515	0.01927829087
516	0.01924503921
517	0.01920564087
518	0.01911815191
519	0.01904092117
520	0.01901371514
521	0.01898337834
522	0.0189074696
523	0.01888221001
524	0.0188418427
525	0.01880021916
526	0.01864539299
527	0.01861862955
528	0.01853675961
529	0.01850955872
530	0.0184778925
531	0.01845637576
532	0.01843762121
533	0.01834470136
534	0.01833764293
535	0.01829258512
536	0.0182492138
537	0.01821846313
538	0.01817152763
539	0.01812470151
540	0.01794685762
541	0.01782320704
542	0.0177838318
543	0.01775918678
544	0.01773953173
545	0.01760099325
546	0.01755935198
547	0.01753817425
548	0.01746352746
549	0.01738253822
