iter	Passed	Remaining
0	506	303369
1	834	249515
2	1129	224688
3	1465	218430
4	1753	208623
5	2061	204116
6	2359	199851
7	2644	195698
8	2927	192220
9	3223	190213
10	3505	187729
11	3784	185434
12	4069	183734
13	4350	182111
14	4635	180773
15	4911	179276
16	5205	178515
17	5563	179897
18	5874	179650
19	6170	178951
20	6476	178570
21	6819	179170
22	7109	178349
23	7419	178075
24	7721	177589
25	8006	176756
26	8292	175979
27	8601	175725
28	8910	175443
29	9198	174769
30	9512	174606
31	9844	174738
32	10157	174516
33	10472	174331
34	10749	173529
35	11078	173557
36	11408	173595
37	11729	173465
38	12052	173376
39	12370	173190
40	12699	173152
41	12978	172431
42	13292	172183
43	13590	171737
44	13864	170991
45	14140	170296
46	14431	169803
47	14719	169275
48	15044	169175
49	15336	168702
50	15621	168155
51	15889	167453
52	16191	167103
53	16481	166643
54	16768	166159
55	17052	165651
56	17329	165083
57	17605	164519
58	17896	164105
59	18189	163708
60	18463	163145
61	18736	162583
62	19038	162277
63	19356	162113
64	19654	161773
65	19957	161476
66	20230	160938
67	20552	160791
68	20848	160446
69	21131	159992
70	21418	159585
71	21704	159166
72	22027	159018
73	22370	159013
74	22726	159085
75	23057	158972
76	23368	158725
77	23672	158426
78	23954	157977
79	24226	157470
80	24513	157068
81	24792	156617
82	25112	156423
83	25422	156167
84	25733	155914
85	26035	155609
86	26350	155378
87	26656	155094
88	26937	154666
89	27208	154182
90	27494	153786
91	27808	153548
92	28117	153284
93	28386	152802
94	28674	152430
95	28955	152018
96	29243	151644
97	29519	151213
98	29804	150829
99	30073	150366
100	30347	149936
101	30616	149481
102	30886	149033
103	31171	148666
104	31446	148246
105	31715	147807
106	31997	147427
107	32272	147019
108	32573	146729
109	32880	146466
110	33186	146199
111	33501	145970
112	33787	145616
113	34081	145296
114	34356	144895
115	34630	144492
116	34936	144223
117	35237	143934
118	35532	143622
119	35804	143218
120	36077	142820
121	36367	142487
122	36652	142140
123	36923	141740
124	37189	141319
125	37481	141000
126	37767	140659
127	38056	140333
128	38329	139948
129	38605	139573
130	38879	139193
131	39153	138817
132	39425	138433
133	39717	138121
134	40005	137797
135	40288	137455
136	40573	137121
137	40860	136793
138	41137	136435
139	41412	136070
140	41700	135749
141	41978	135394
142	42258	135049
143	42538	134706
144	42809	134333
145	43091	133998
146	43375	133668
147	43662	133346
148	43958	133054
149	44242	132726
150	44523	132392
151	44789	132012
152	45066	131663
153	45333	131289
154	45613	130956
155	45883	130591
156	46173	130284
157	46439	129913
158	46772	129726
159	47042	129367
160	47331	129058
161	47614	128735
162	47893	128402
163	48178	128084
164	48452	127738
165	48733	127412
166	49016	127090
167	49286	126736
168	49571	126422
169	49837	126058
170	50119	125739
171	50406	125431
172	50678	125085
173	50971	124791
174	51244	124450
175	51526	124131
176	51818	123838
177	52105	123529
178	52391	123222
179	52664	122883
180	52934	122539
181	53198	122181
182	53463	121827
183	53763	121551
184	54057	121263
185	54339	120948
186	54656	120711
187	55006	120545
188	55441	120563
189	55822	120458
190	56180	120303
191	56516	120097
192	56846	119878
193	57234	119779
194	57609	119650
195	57964	119476
196	58349	119365
197	58829	119441
198	59221	119335
199	59608	119217
200	59955	119015
201	60292	118793
202	60641	118594
203	60979	118372
204	61296	118107
205	61624	117864
206	62014	117738
207	62344	117495
208	62733	117362
209	63148	117276
210	63506	117080
211	63807	116780
212	64098	116460
213	64438	116230
214	64777	115996
215	65075	115690
216	65419	115463
217	65771	115251
218	66094	114987
219	66431	114744
220	66746	114465
221	67028	114128
222	67307	113788
223	67605	113481
224	67922	113204
225	68253	112950
226	68566	112666
227	68852	112338
228	69136	112007
229	69415	111668
230	69691	111325
231	69995	111026
232	70276	110693
233	70553	110352
234	70823	110001
235	71092	109650
236	71352	109287
237	71660	108996
238	71952	108682
239	72252	108379
240	72527	108039
241	72798	107693
242	73080	107365
243	73416	107116
244	73768	106889
245	74076	106597
246	74383	106305
247	74671	105985
248	74989	105707
249	75317	105444
250	75609	105131
251	75903	104819
252	76195	104504
253	76468	104165
254	76751	103839
255	77044	103528
256	77311	103182
257	77589	102851
258	77884	102543
259	78214	102280
260	78520	101986
261	78824	101689
262	79136	101403
263	79451	101119
264	79776	100849
265	80092	100567
266	80421	100301
267	80728	100006
268	81028	99704
269	81343	99419
270	81662	99140
271	81952	98825
272	82235	98502
273	82538	98203
274	82801	97856
275	83085	97535
276	83356	97199
277	83637	96875
278	83913	96545
279	84195	96223
280	84478	95902
281	84769	95591
282	85037	95253
283	85300	94911
284	85584	94593
285	85871	94278
286	86152	93957
287	86424	93626
288	86692	93291
289	86966	92964
290	87228	92623
291	87517	92313
