iter	Passed	Remaining
0	511	255205
1	800	199388
2	1090	180689
3	1398	173452
4	1702	168576
5	2070	170435
6	2377	167477
7	2690	165475
8	2995	163409
9	3301	161752
10	3609	160453
11	3914	159191
12	4218	158013
13	4523	157017
14	4824	156004
15	5132	155266
16	5458	155085
17	5756	154147
18	6075	153807
19	6392	153428
20	6703	152901
21	7009	152299
22	7315	151715
23	7613	151006
24	7939	150852
25	8244	150294
26	8554	149858
27	8865	149447
28	9178	149067
29	9493	148735
30	9800	148269
31	10118	147983
32	10433	147650
33	10743	147246
34	11051	146828
35	11358	146395
36	11658	145885
37	11975	145592
38	12299	145387
39	12625	145197
40	12942	144893
41	13250	144493
42	13566	144184
43	13932	144391
44	14260	144192
45	14576	143865
46	14875	143378
47	15185	142996
48	15515	142802
49	15818	142368
50	16126	141976
51	16433	141576
52	16744	141226
53	17059	140897
54	17358	140442
55	17660	140020
56	17956	139553
57	18260	139158
58	18571	138814
59	18874	138410
60	19181	138046
61	19498	137744
62	19841	137630
63	20152	137285
64	20452	136873
65	20751	136458
66	21050	136043
67	21350	135639
68	21649	135228
69	21945	134810
70	22246	134421
71	22548	134038
72	22848	133649
73	23150	133271
74	23454	132910
75	23757	132540
76	24062	132189
77	24369	131846
78	24668	131461
79	24975	131121
80	25283	130788
81	25585	130421
82	25884	130046
83	26181	129661
84	26483	129302
85	26782	128931
86	27091	128607
87	27396	128265
88	27695	127897
89	27994	127529
90	28303	127209
91	28601	126843
92	28894	126450
93	29188	126067
94	29484	125697
95	29784	125341
96	30075	124952
97	30370	124580
98	30665	124211
99	30964	123859
100	31264	123511
101	31561	123152
102	31863	122812
103	32159	122453
104	32450	122075
105	32745	121712
106	33041	121356
107	33336	120998
108	33634	120652
109	33925	120279
110	34219	119922
111	34511	119558
112	34803	119194
113	35092	118823
114	35383	118457
115	35674	118094
116	35964	117729
117	36254	117366
118	36545	117008
119	36841	116663
120	37152	116371
121	37466	116085
122	37797	115850
123	38094	115513
124	38400	115201
125	38715	114916
126	39022	114610
127	39330	114305
128	39648	114028
129	39959	113730
130	40265	113419
131	40573	113114
132	40888	112828
133	41197	112524
134	41513	112239
135	41849	112008
136	42164	111720
137	42457	111374
138	42760	111053
139	43064	110736
140	43366	110415
141	43665	110086
142	43965	109760
143	44267	109439
144	44581	109148
145	44890	108842
146	45192	108523
147	45492	108198
148	45796	107882
149	46095	107556
150	46393	107226
151	46696	106910
152	47005	106606
153	47311	106297
154	47622	105998
155	47920	105670
156	48243	105397
157	48555	105100
158	48859	104787
159	49172	104490
160	49486	104198
161	49797	103898
162	50102	103585
163	50419	103297
164	50736	103009
165	51046	102707
166	51355	102403
167	51681	102133
168	51989	101826
169	52296	101516
170	52602	101206
171	52913	100903
172	53228	100611
173	53551	100332
174	53875	100054
175	54192	99763
176	54512	99478
177	54826	99180
178	55140	98882
179	55473	98620
180	55817	98373
181	56139	98089
182	56448	97782
183	56771	97498
184	57082	97194
185	57397	96896
186	57712	96599
187	58028	96303
188	58340	95999
189	58656	95702
190	58970	95402
191	59288	95107
192	59616	94830
193	59933	94534
194	60242	94225
195	60538	93896
196	60839	93575
197	61149	93267
198	61454	92953
199	61754	92631
200	62054	92310
201	62354	91987
202	62654	91666
203	62950	91340
204	63253	91023
205	63557	90707
206	63865	90398
207	64165	90078
