iter	MultiClass
0	1.351962461
1	1.317225927
2	1.285347494
3	1.259782021
4	1.231062886
5	1.204646134
6	1.182722619
7	1.164263671
8	1.140263868
9	1.119644847
10	1.103466541
11	1.085257725
12	1.065045476
13	1.050565674
14	1.03393677
15	1.018615108
16	1.007143304
17	0.9929832151
18	0.9764634411
19	0.9661244474
20	0.9519994412
21	0.9385449847
22	0.9270075278
23	0.9135438713
24	0.9050204717
25	0.8948771114
26	0.8854577519
27	0.8773950718
28	0.8698711818
29	0.8594889491
30	0.8525612396
31	0.8443832505
32	0.8366546207
33	0.827343587
34	0.8199127972
35	0.8131742921
36	0.8038117524
37	0.7943512442
38	0.7872840739
39	0.7797191574
40	0.7699893661
41	0.7652160023
42	0.7590757335
43	0.7508453798
44	0.743451654
45	0.7373377014
46	0.732518798
47	0.7261001733
48	0.7212361515
49	0.7149923914
50	0.7106265438
51	0.7050940209
52	0.6996452604
53	0.695531853
54	0.6896424624
55	0.6860703357
56	0.6820611921
57	0.674674608
58	0.6713704675
59	0.6656345525
60	0.6618403285
61	0.6567320257
62	0.6511595367
63	0.6467011524
64	0.6420776947
65	0.6390949933
66	0.6342658683
67	0.6295677039
68	0.62436096
69	0.6195953693
70	0.6149524364
71	0.6126731311
72	0.6086849586
73	0.6044476384
74	0.601465227
75	0.5959460924
76	0.5924600124
77	0.5885249135
78	0.5842617539
79	0.5813687078
80	0.577780549
81	0.575017428
82	0.5720337608
83	0.5692789902
84	0.5662308834
85	0.5629103977
86	0.560196294
87	0.5560684374
88	0.55186431
89	0.54963289
90	0.5465711949
91	0.5436839751
92	0.5396094036
93	0.5376118461
94	0.5352892624
95	0.5319942289
96	0.5293364581
97	0.5276687664
98	0.5257236993
99	0.5230067133
100	0.520271238
101	0.5173801473
102	0.5150115307
103	0.5129341234
104	0.5102960561
105	0.5064400775
106	0.5051408615
107	0.5026941172
108	0.5000171309
109	0.4980701027
110	0.4949875189
111	0.492537655
112	0.4897454267
113	0.4871282705
114	0.4850191837
115	0.4818721791
116	0.4791332847
117	0.4774396639
118	0.4749317635
119	0.4704330087
120	0.4691822989
121	0.4666298028
122	0.4641738427
123	0.4608937441
124	0.4584808932
125	0.4565937393
126	0.4547475977
127	0.4538480849
128	0.4509865968
129	0.4489656773
130	0.447424155
131	0.4451191552
132	0.4437149529
133	0.4422140872
134	0.4403897539
135	0.4377624553
136	0.436177351
137	0.4346515181
138	0.4332144999
139	0.4322216941
140	0.4311274501
141	0.4294473307
142	0.428083802
143	0.42689197
144	0.4251700845
145	0.4233333369
146	0.4219197965
147	0.4207798068
148	0.4181253845
149	0.4153744903
150	0.414141758
151	0.4130201291
152	0.4114125696
153	0.4096650436
154	0.4085101922
155	0.4065708715
156	0.403873236
157	0.4015231649
158	0.4004558378
159	0.3992586835
160	0.3969339882
161	0.3953257822
162	0.3940601475
163	0.3915476637
164	0.3892851674
165	0.3885918147
166	0.3871572519
167	0.3852950777
168	0.3835330554
169	0.3821476605
170	0.3802077708
171	0.3781241884
172	0.3763323781
173	0.3750850852
174	0.3730359073
175	0.3722450146
176	0.3706389198
177	0.3683981471
178	0.3672234726
179	0.3663817324
180	0.3651799883
181	0.363368122
182	0.3617527023
183	0.3598912598
184	0.3576883304
185	0.3559854232
186	0.3541402782
187	0.3530009393
188	0.3505949458
189	0.3491140678
190	0.3476102125
191	0.3465913758
192	0.3453808505
193	0.343551297
194	0.3417052735
195	0.3397105312
196	0.3386693439
197	0.3373871857
198	0.3361054796
199	0.3344799103
200	0.3327890948
201	0.3316793876
202	0.3300256115
203	0.3289757835
204	0.3274681135
205	0.3259711465
206	0.3246403133
207	0.3231412566
208	0.3219695
209	0.3205561506
210	0.3185320504
211	0.3172618535
212	0.3154734572
213	0.3142849143
214	0.3129174346
215	0.3117718201
216	0.3102014121
217	0.309159898
218	0.3082256454
219	0.3070036805
220	0.3060500045
221	0.3050773257
222	0.3037168887
223	0.3028292491
224	0.3011075803
225	0.3001268771
226	0.2987406165
227	0.2979009225
228	0.2966106915
229	0.2949895838
230	0.2940699139
231	0.2932344364
232	0.2924846239
233	0.2912604425
234	0.2904765773
235	0.2892102898
236	0.2881903374
237	0.2870406575
238	0.2858572408
239	0.284846609
240	0.2836336949
241	0.2828046669
242	0.2818250068
243	0.2807588047
244	0.2800890117
245	0.2792399727
246	0.2769066492
247	0.2758199766
248	0.2747024821
249	0.2734507749
250	0.2721500954
251	0.2709306283
252	0.2699318924
253	0.2685803887
254	0.2679855098
255	0.2668705961
256	0.2661564401
257	0.2648998228
258	0.2642878785
259	0.2629281129
260	0.2622195487
261	0.2611294571
262	0.260195611
263	0.2594087413
264	0.2589176644
265	0.2576831701
266	0.2563238685
267	0.255643686
268	0.254774856
269	0.2542270402
270	0.2530781015
271	0.2520204543
272	0.2511510022
273	0.250552374
274	0.2493193026
275	0.248474033
276	0.2472350787
277	0.2462234292
278	0.245569254
279	0.2451292705
280	0.2438746005
281	0.2429644041
282	0.2425595225
283	0.241835544
284	0.2410445982
285	0.2401199366
286	0.2389980897
287	0.238530334
288	0.2376904873
289	0.2371340016
290	0.236262222
291	0.2356839103
292	0.2353198613
293	0.2346083562
294	0.2338083855
295	0.232605104
296	0.2321484917
297	0.2318099362
298	0.230629023
299	0.2300157281
