iter	Passed	Remaining
0	633	189562
1	825	123049
2	1019	100954
3	1207	89353
4	1398	82503
5	1594	78145
6	1782	74607
7	1977	72194
8	2165	70026
9	2356	68343
10	2545	66883
11	2740	65775
12	2933	64753
13	3122	63789
14	3311	62910
15	3501	62153
16	3686	61362
17	3868	60603
18	4047	59863
19	4226	59173
20	4404	58518
21	4584	57926
22	4766	57408
23	4952	56957
24	5136	56498
25	5317	56035
26	5497	55584
27	5677	55153
28	5860	54767
29	6044	54400
30	6223	54003
31	6401	53610
32	6580	53242
33	6759	52879
34	6936	52518
35	7112	52161
36	7296	51865
37	7477	51553
38	7656	51242
39	7841	50970
40	8024	50693
41	8203	50394
42	8382	50102
43	8563	49825
44	8746	49562
45	8927	49296
46	9111	49046
47	9292	48785
48	9471	48518
49	9656	48280
50	9839	48038
51	10022	47800
52	10200	47538
53	10378	47281
54	10560	47041
55	10742	46805
56	10923	46569
57	11107	46343
58	11286	46102
59	11467	45869
60	11648	45638
61	11826	45396
62	12006	45166
63	12194	44966
64	12371	44728
65	12551	44499
66	12730	44271
67	12910	44049
68	13091	43828
69	13274	43615
70	13456	43400
71	13635	43179
72	13820	42975
73	14003	42766
74	14179	42538
75	14366	42341
76	14545	42125
77	14723	41903
78	14904	41696
79	15090	41498
80	15270	41287
81	15450	41075
82	15629	40861
83	15814	40665
84	15995	40458
85	16178	40258
86	16358	40048
87	16539	39844
88	16717	39632
89	16902	39440
90	17082	39233
91	17259	39021
92	17441	38820
93	17620	38614
94	17804	38420
95	17986	38220
96	18168	38023
97	18353	37829
98	18533	37627
99	18719	37438
100	18897	37232
101	19078	37035
102	19259	36836
103	19441	36639
104	19626	36448
105	19807	36252
106	19988	36053
107	20176	35869
108	20360	35678
109	20543	35484
110	20723	35285
111	20906	35092
112	21093	34907
113	21272	34707
114	21454	34513
115	21636	34319
116	21815	34122
117	21996	33926
118	22177	33732
119	22364	33546
120	22541	33346
121	22720	33149
122	22899	32952
123	23081	32760
124	23265	32571
125	23447	32380
126	23630	32189
127	23814	32000
128	23994	31806
129	24168	31605
130	24349	31412
131	24531	31222
132	24709	31026
133	24888	30831
134	25070	30641
135	25254	30453
136	25433	30259
137	25614	30069
138	25796	29879
139	25977	29688
140	26157	29497
141	26342	29311
142	26521	29118
143	26702	28927
144	26880	28734
145	27059	28542
146	27240	28352
147	27418	28159
148	27598	27968
149	27781	27781
150	27961	27591
151	28139	27399
152	28319	27208
153	28499	27019
154	28678	26828
155	28862	26642
156	29043	26453
157	29228	26268
158	29408	26079
159	29587	25888
160	29770	25702
161	29950	25513
162	30134	25327
163	30316	25140
164	30494	24950
165	30671	24758
166	30848	24567
167	31028	24379
168	31213	24194
169	31396	24008
170	31575	23820
171	31759	23635
172	31939	23446
173	32118	23258
174	32298	23070
175	32474	22879
176	32657	22693
177	32843	22510
178	33019	22320
179	33197	22131
180	33379	21945
181	33561	21759
182	33743	21574
183	33927	21389
184	34110	21204
185	34290	21016
186	34471	20830
187	34649	20642
188	34834	20458
189	35013	20271
190	35194	20085
191	35371	19896
192	35547	19707
193	35726	19520
194	35912	19337
195	36093	19151
196	36270	18963
197	36452	18778
198	36628	18590
199	36810	18405
200	36993	18220
201	37170	18033
202	37345	17844
203	37527	17659
204	37709	17475
205	37892	17290
206	38075	17106
207	38259	16922
208	38438	16736
209	38622	16552
210	38807	16368
211	38984	16182
212	39171	15999
213	39354	15815
214	39536	15630
215	39712	15443
216	39892	15258
217	40072	15073
218	40254	14888
219	40433	14703
220	40617	14519
221	40796	14333
222	40976	14148
223	41158	13964
224	41348	13782
225	41540	13601
226	41729	13419
227	41919	13237
228	42096	13051
229	42281	12868
230	42462	12683
231	42642	12498
232	42822	12313
233	43012	12131
234	43193	11947
235	43379	11763
236	43560	11579
237	43742	11395
238	43923	11210
239	44102	11025
240	44285	10841
241	44464	10656
242	44646	10472
243	44823	10287
244	45004	10102
245	45183	9918
246	45369	9735
247	45552	9551
248	45736	9367
249	45917	9183
250	46100	8999
251	46283	8815
252	46462	8631
253	46644	8447
254	46824	8263
255	47004	8078
256	47185	7894
257	47368	7711
258	47545	7526
259	47727	7342
260	47905	7158
261	48083	6973
262	48266	6790
263	48448	6606
264	48627	6422
265	48808	6238
266	48994	6055
267	49175	5871
268	49358	5688
269	49545	5505
270	49736	5322
271	49929	5139
272	50117	4956
273	50305	4773
274	50488	4589
275	50667	4405
276	50850	4222
277	51031	4038
278	51214	3854
279	51393	3670
280	51575	3487
281	51758	3303
282	51938	3119
283	52113	2935
284	52297	2752
285	52475	2568
286	52659	2385
287	52838	2201
288	53015	2017
289	53193	1834
290	53378	1650
291	53561	1467
292	53737	1283
293	53915	1100
294	54096	916
295	54279	733
296	54454	550
297	54631	366
298	54814	183
299	54993	0
